title,nid,img,location,lat,long,secret,attending,event_link,fb_link,fb_going,fb_interested,date_wday,date2_wday,date_conv,date2_conv,sold_out,timestamp
Solstice Festival 2017,66989,http://api.simfuny.com/sites/default/files/photo/events/15895656_1272531012786388_5048735231400931615_o_0.jpg,Ruigoord 76,52.44436753,4.82896868,0,1706,http://simfuny.com/event/66989/solstice-festival-2017,https://www.facebook.com/events/604130049795847,1600,6200,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Official After Party Awakenings Festival - Saturday (SOLD OUT),111393,http://api.simfuny.com/sites/default/files/photo/events/19113915_1252454411543704_9161799471844597684_n_0.jpg,Paradiso Amsterdam,52.36228,4.8839499,0,591,http://simfuny.com/event/111393/official-after-party-awakenings-festival-saturday-sold-out,https://www.facebook.com/events/1493465287363922,631,894,Sat,Sun,2017-06-24,2017-06-25,TRUE,2017-06-25T01:03:48Z
Last minute: Vunzige Deuntjes At The Beach - Whoosah,113285,http://api.simfuny.com/sites/default/files/photo/events/19247802_1385427731576751_8025315936222131220_n.jpg,Whoosah Beachclub,52.121140120608,4.2926500484975,0,389,http://simfuny.com/event/113285/last-minute-vunzige-deuntjes-at-the-beach-whoosah,https://www.facebook.com/events/1345309678917690,558,1400,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
"BLAST DEM BEATZ, Amsterdam",90417,http://api.simfuny.com/sites/default/files/photo/events/17880015_1430787306971389_8614946080905047345_o_0.jpg,AIR Amsterdam,52.36611,4.89945,0,367,http://simfuny.com/event/90417/blast-dem-beatz-amsterdam,https://www.facebook.com/events/385583831803951,NA,NA,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Froluck Festival,94883,http://api.simfuny.com/sites/default/files/photo/events/17917179_1401647759858361_4885522083845619718_o_0.jpg,Amsterdam Roest,52.372049060304,4.9266815185547,0,257,http://simfuny.com/event/94883/froluck-festival,https://www.facebook.com/events/283737608748138,274,1200,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
DeepHouse Injection Local Heroes,108963,http://api.simfuny.com/sites/default/files/photo/events/18559008_465583720457823_2885231499379063110_o_0.jpg,VLLA,52.36349,4.835,0,210,http://simfuny.com/event/108963/deephouse-injection-local-heroes,https://www.facebook.com/events/1279193918865678,NA,NA,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
"Playground - Girls Love DJ's, Geza Weisz & more - AIR Amsterdam",111199,http://api.simfuny.com/sites/default/files/photo/events/19144061_451265761906465_700762667113866850_o.jpg,AIR Amsterdam,52.366242406087,4.8990085489949,0,203,http://simfuny.com/event/111199/playground-girls-love-dj-s-geza-weisz-more-air-amsterdam,https://www.facebook.com/events/789674351195661,228,238,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
1 jaar Ondersteboven,100699,http://api.simfuny.com/sites/default/files/photo/events/18238868_1907959472756120_8077760870680434805_o.jpg,Canvas,52.35378,4.91194,0,198,http://simfuny.com/event/100699/1-jaar-ondersteboven,https://www.facebook.com/events/305547306526066,220,295,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
JIGGY x Neptunes vs Timbaland x Zaterdag 24 juni x Bitterzoet,107705,http://api.simfuny.com/sites/default/files/photo/events/18738979_1128781487227168_1607161927095219609_o.jpg,Bitterzoet,52.37736,4.89414,0,196,http://simfuny.com/event/107705/jiggy-x-neptunes-vs-timbaland-x-zaterdag-24-juni-x-bitterzoet,https://www.facebook.com/events/435366913505455,229,463,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
"VBX Summerseries w/ Lamache, Makcim, Reiss, Herra + more tba",104983,http://api.simfuny.com/sites/default/files/photo/events/18559012_1544341288940388_255380710848693236_o_0.jpg,BRET,52.389967027416,4.8368167877197,0,184,http://simfuny.com/event/104983/vbx-summerseries-w-lamache-makcim-reiss-herra-more-tba,https://www.facebook.com/events/262855727516262,291,540,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
Upperclub x Supperstars - Every Saturday at Supperclub,95933,http://api.simfuny.com/sites/default/files/photo/events/19417343_1917893351815974_8821277055068869985_o.jpg,Supperclub Amsterdam,52.3675385,4.8888302,0,160,http://simfuny.com/event/95933/upperclub-x-supperstars-every-saturday-at-supperclub,https://www.facebook.com/events/1850412765228310,172,122,Sat,Sun,2017-06-24,2017-06-25,FALSE,2017-06-25T01:03:48Z
